Date,Total Cases,Total Deaths,Daily Cases,Daily Deaths,Inactive Cases,Active Cases,per 100K Population,per 1M Population,Mortality,Pop Infected Rate,Pop Death Rate,3 Day Cases Average,5 Day Cases Average, 7 Day Cases Average,3 Day Deaths Average,5 Day Deaths Average, 7 Day Deaths Average,Cases Change Rate,Deaths Change Rate
"Mar 22, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar 23, 2020",1,0,1,0,0,1,1.95,19.51,0,0.0020,0,,,,,,,100,0
"Mar 24, 2020",1,0,0,0,0,1,1.95,19.51,0,0.0020,0,,,,,,,0,0
"Mar 25, 2020",1,0,0,0,0,1,1.95,19.51,0,0.0020,0,0.33,,,0,,,0,0
"Mar 26, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,,,,,,0,0
"Mar 27, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,0.2,,,0,,0,0
"Mar 28, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,0,,,0,,,0,0
"Mar 29, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,,0.14,,,0,0,0
"Mar 30, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,,,,,,0,0
"Mar 31, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,0,,,0,,,0,0
"Apr 1, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,0,,,0,,0,0
"Apr 2, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,,,,,,0,0
"Apr 3, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,0,,,0,,,0,0
"Apr 4, 2020",1,0,0,0,1,0,1.95,19.51,0,0.0020,0,,,,,,,0,0
"Apr 5, 2020",2,0,1,0,1,1,3.90,39.02,0,0.0039,0,,,0.14,,,0,100,0
"Apr 6, 2020",2,0,0,0,1,1,3.90,39.02,0,0.0039,0,0.33,0.20,,0,0,,0,0
"Apr 7, 2020",2,0,0,0,1,1,3.90,39.02,0,0.0039,0,,,,,,,0,0
"Apr 8, 2020",2,0,0,0,1,1,3.90,39.02,0,0.0039,0,,,,,,,0,0
"Apr 9, 2020",3,0,1,0,1,2,5.85,58.53,0,0.0059,0,0.33,,,0,,,50,0
"Apr 10, 2020",5,0,2,0,1,4,9.76,97.55,0,0.0097,0,,,,,,,67,0
"Apr 11, 2020",5,0,0,0,2,3,9.76,97.55,0,0.0097,0,,0.60,,,0,,0,0
"Apr 12, 2020",6,0,1,0,2,4,11.71,117.06,0,0.01,0,1,,0.57,0,,0,20,0
"Apr 13, 2020",6,0,0,0,4,2,11.71,117.06,0,0.01,0,,,,,,,0,0
"Apr 14, 2020",7,0,1,0,5,2,13.66,136.57,0,0.01,0,,,,,,,16.67,0
"Apr 15, 2020",7,0,0,0,5,2,13.66,136.57,0,0.01,0,0.33,,,0,,,0,0
"Apr 16, 2020",7,0,0,0,5,2,13.66,136.57,0,0.01,0,,0.40,,,0,,0,0
"Apr 17, 2020",7,0,0,0,6,1,13.66,136.57,0,0.01,0,,,,,,,0,0
"Apr 18, 2020",7,0,0,0,6,1,13.66,136.57,0,0.01,0,0,,,0,,,0,0
"Apr 19, 2020",7,0,0,0,6,1,13.66,136.57,0,0.01,0,,,0.14,,,0,0,0
"Apr 20, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,,,,,,,0,0
"Apr 21, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,0,0,,0,0,,0,0
"Apr 22, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,,,,,,,0,0
"Apr 23, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,,,,,,,0,0
"Apr 24, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,0,,,0,,,0,0
"Apr 25, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,,,,,,,0,0
"Apr 26, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,,0,0,,0,0,0,0
"Apr 27, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,0,,,0,,,0,0
"Apr 28, 2020",7,0,0,0,7,0,13.66,136.57,0,0.01,0,,,,,,,0,0
"Apr 29, 2020",8,0,1,0,7,1,15.61,156.08,0,0.02,0,,,,,,,14.29,0
"Apr 30, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,0.33,,,0,,,0,0
"May 1, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,,0.20,,,0,,0,0
"May 2, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,,,,,,,0,0
"May 3, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,0,,0.14,0,,0,0,0
"May 4, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,,,,,,,0,0
"May 5, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,,,,,,,0,0
"May 6, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,0,0,,0,0,,0,0
"May 7, 2020",8,0,0,0,7,1,15.61,156.08,0,0.02,0,,,,,,,0,0
"May 8, 2020",10,0,2,0,8,2,19.51,195.10,0,0.02,0,,,,,,,25,0
"May 9, 2020",10,0,0,0,8,2,19.51,195.10,0,0.02,0,0.67,,,0,,,0,0
"May 10, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,,0.29,,,0,0,0
"May 11, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,0.40,,,0,,0,0
"May 12, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,0,,,0,,,0,0
"May 13, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,,,,,,0,0
"May 14, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,,,,,,0,0
"May 15, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,0,,,0,,,0,0
"May 16, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,0,,,0,,0,0
"May 17, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,,0,,,0,0,0
"May 18, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,0,,,0,,,0,0
"May 19, 2020",10,0,0,0,10,0,19.51,195.10,0,0.02,0,,,,,,,0,0
"May 20, 2020",11,0,1,0,10,1,21.46,214.60,0,0.02,0,,,,,,,10,0
"May 21, 2020",12,0,1,0,10,2,23.41,234.11,0,0.02,0,0.67,0.40,,0,0,,9.09,0
"May 22, 2020",12,0,0,0,10,2,23.41,234.11,0,0.02,0,,,,,,,0,0
"May 23, 2020",13,0,1,0,10,3,25.36,253.62,0,0.03,0,,,,,,,8.33,0
"May 24, 2020",13,0,0,0,10,3,25.36,253.62,0,0.03,0,0.33,,0.43,0,,0,0,0
"May 25, 2020",13,0,0,0,11,2,25.36,253.62,0,0.03,0,,,,,,,0,0
"May 26, 2020",13,0,0,0,11,2,25.36,253.62,0,0.03,0,,0.20,,,0,,0,0
"May 27, 2020",13,0,0,0,11,2,25.36,253.62,0,0.03,0,0,,,0,,,0,0
"May 28, 2020",13,0,0,0,11,2,25.36,253.62,0,0.03,0,,,,,,,0,0
"May 29, 2020",13,0,0,0,12,1,25.36,253.62,0,0.03,0,,,,,,,0,0
