Date,Total Cases,Daily Cases,Total Deaths,Daily Deaths,Mortality Rate,7-Day Average Daily Cases,3-Day Average Daily Cases,5-Day Average Daily Cases,Total Tests Performed,Daily IO Hospitalizations,Infected Hospitalization Rate,Tested Infection Rate,7-Day Average Daily Deaths,30-Day Recovered,Current Positivity
"Mar 6, 2020 14:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar 7, 2020 14:00:00",1,1,0,0,0,,,0,,,,,,0,0
"Mar 8, 2020 14:00:00",1,0,0,0,0,,,,,,,,,0,0
"Mar 9, 2020 14:00:00",1,0,0,0,0,,0.33,,,,,,,0,0
"Mar 10, 2020 14:00:00",1,0,0,0,0,,,,,,,,,0,0
"Mar 11, 2020 14:00:00",1,0,0,0,0,,,0.20,,,,,,0,0
"Mar 12, 2020 14:00:00",2,1,0,0,0,,0.33,,,,,,,0,0
"Mar 13, 2020 14:00:00",4,2,0,0,0,0.57,,,,,,,,0,0
"Mar 14, 2020 14:00:00",5,1,0,0,0,,,,,,,,,0,0
"Mar 15, 2020 14:00:00",5,0,0,0,0,,1,,,,,,,0,0
"Mar 16, 2020 14:00:00",8,3,0,0,0,,,1.4,,3,37.50,,,0,0
"Mar 17, 2020 14:00:00",15,7,0,0,0,,,,,3,20.00,,,0,0
"Mar 18, 2020 14:00:00",24,9,1,1,4.17,,6.33,,,5,20.83,,,0,0
"Mar 19, 2020 14:00:00",28,4,1,0,3.57,,,,,17,60.71,,,0,0
"Mar 20, 2020 14:00:00",54,26,1,0,1.85,7.14,,,,12,22.22,,0.14,0,0
"Mar 21, 2020 14:00:00",90,36,3,2,3.33,,22,16.40,,16,17.78,,,0,0
"Mar 22, 2020 14:00:00",148,48,3,0,2.03,,,,,27,18.24,,,0,0
"Mar 23, 2020 14:00:00",209,71,4,1,1.91,,,,,25,11.96,,,0,0
"Mar 24, 2020 14:00:00",272,63,4,0,1.47,,60.67,,,27,9.93,,,0,0
"Mar 25, 2020 14:00:00",357,85,8,4,2.24,,,,,34,9.52,,,0,0
"Mar 26, 2020 14:00:00",517,160,8,0,1.55,,,85.40,,39,7.54,,,0,0
"Mar 27, 2020 14:00:00",670,153,9,1,1.34,88,132.67,,,66,9.85,,1.14,0,0
"Mar 28, 2020 14:00:00",838,168,12,3,1.43,,,,,50,5.97,,,0,0
"Mar 29, 2020 14:00:00",903,65,12,0,1.33,,,,,64,7.09,,,0,0
"Mar 30, 2020 14:00:00",1100,197,14,2,1.27,,143.33,,,80,7.27,,,0,0
"Mar 31, 2020 14:00:00",1327,227,14,2,1.06,,,162,,64,4.82,,,0,0
"Apr 1, 2020 14:00:00",1581,254,18,4,1.14,,,,,99,6.26,,,0,0
"Apr 2, 2020 14:00:00",1834,253,21,3,1.15,,244.67,,,106,5.78,,,0,0
"Apr 3, 2020 14:00:00",2113,279,37,16,1.75,206.14,,,,122,5.77,,4.29,0,0
"Apr 4, 2020 14:00:00",2291,178,37,0,1.62,,,,,99,4.32,,,0,0
"Apr 5, 2020 14:00:00",2430,139,47,10,1.93,,198.67,220.60,,175,7.20,,,0,0
"Apr 6, 2020 14:00:00",2722,292,47,0,1.73,,,,,393,14.44,,,0,0
"Apr 7, 2020 14:00:00",3037,315,53,6,1.75,,,,,441,14.52,,,0,0
"Apr 8, 2020 14:00:00",3327,290,58,5,1.74,,299,,,479,14.40,,,0,0
"Apr 9, 2020 14:00:00",3539,212,77,19,2.18,,,,,428,12.09,,,0,0
"Apr 10, 2020 14:00:00",3799,260,96,19,2.53,240.86,,273.80,,235,6.19,,8.43,0,0
"Apr 11, 2020 14:00:00",4024,225,109,13,2.71,,232.33,,42947,190,4.72,9.37,,0,0
"Apr 12, 2020 14:00:00",4160,136,110,1,2.64,,,,45064,549,13.20,9.23,,0,6.42
"Apr 13, 2020 14:00:00",4388,228,114,4,2.60,,,,47680,571,13.01,9.20,,2,8.72
"Apr 14, 2020 14:00:00",4686,298,133,19,2.84,,220.67,,48803,589,12.57,9.60,,5,26.54
"Apr 15, 2020 14:00:00",4895,209,147,14,3.00,,,219.20,50432,594,12.13,9.71,,8,12.83
